"Rank","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","BPM"
256,"Andre Iguodala","SF",38,"GSW",26,0,19.9,1.5,3.9,0.392,0.5,2.3,0.23,1,1.6,0.634,0.461,0.5,0.6,0.813,0.7,2.6,3.3,3.8,0.8,0.8,0.9,1,4.1,3.5
153,"Anthony Edwards","SG",20,"MIN",53,53,34.6,7.8,18,0.435,3.1,8.7,0.355,4.8,9.3,0.51,0.521,3.1,4,0.776,0.9,3.9,4.8,3.6,1.5,0.7,2.8,2.3,21.9,1.1
160,"Drew Eubanks","C",24,"SAS",49,9,12.1,1.7,3.2,0.528,0,0.2,0.125,1.7,3.1,0.55,0.531,1.2,1.6,0.747,1.3,2.7,4,1,0.3,0.6,0.9,1.2,4.7,-1.3
46,"Saddiq Bey","SF",22,"DET",58,58,33.6,5.5,14.1,0.388,2.6,7.4,0.346,2.9,6.7,0.435,0.479,2.4,2.9,0.83,1.4,4.4,5.8,2.8,0.9,0.2,1.3,1.6,15.9,-0.6
40,"Bradley Beal","SG",28,"WAS",40,40,36,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14,0.508,0.492,4.2,5.1,0.833,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,0.9
579,"D.J. Wilson","PF",25,"TOR",3,1,16,2.7,3.7,0.727,0,0.7,0,2.7,3,0.889,0.727,2.7,3.3,0.8,0.3,4.3,4.7,1.3,1.7,0.3,0.7,1.7,8,4.7
558,"Yuta Watanabe","SF",27,"TOR",25,4,14.6,1.7,4.2,0.396,0.8,2.4,0.356,0.8,1.9,0.447,0.495,0.7,1.2,0.567,0.6,2.3,2.9,0.6,0.3,0.5,0.6,1.3,4.9,-3.1
454,"Trevelin Queen","SG",24,"HOU",8,0,8.6,1.6,3.6,0.448,1,2.8,0.364,0.6,0.9,0.714,0.586,0.4,0.4,1,0.6,1.1,1.8,0.4,0.6,0,0.9,0.8,4.6,-0.5
140,"Luguentz Dort","SF",22,"OKC",51,51,32.6,5.7,14.2,0.404,2.5,7.7,0.332,3.2,6.6,0.487,0.493,3.2,3.7,0.843,0.7,3.4,4.2,1.7,0.9,0.4,1.7,2.9,17.2,-2.1
475,"Terry Rozier","SG",27,"CHO",51,51,33.7,6.8,16,0.428,3,8.2,0.36,3.9,7.8,0.5,0.52,2,2.5,0.819,0.8,3.5,4.3,4.3,1.1,0.4,1.3,1.6,18.7,1.1
56,"Leandro Bolmaro","SF",21,"MIN",25,2,7.5,0.4,1.3,0.281,0.1,0.5,0.167,0.3,0.8,0.35,0.313,0.3,0.4,0.889,0.6,0.8,1.4,0.4,0.2,0,0.5,0.8,1.1,-6.7
345,"Kelan Martin","SF",26,"IND",27,1,16.4,2.6,6.2,0.417,0.8,2.7,0.297,1.8,3.5,0.511,0.482,0.3,0.5,0.692,0.6,1.4,2,0.8,0.5,0.3,0.5,1.3,6.3,-3.1
