Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
464,Nick Richards,C,24,CHO,41,5,8.4,1.3,2,0.679,0,0,,1.3,2,0.679,0.679,0.7,1,0.732,0.7,1.2,2,0.3,0.2,0.5,0.5,1.2,3.4,-2.2
465,Josh Richardson,SG,28,TOT,45,0,24.5,3.4,7.7,0.441,1.4,3.5,0.399,2,4.2,0.476,0.532,1.4,1.6,0.859,0.6,2.2,2.8,1.5,0.8,0.5,0.9,1.8,9.6,0
466,Austin Rivers,SG,29,DEN,44,13,21,2.2,5.3,0.413,1.2,3.5,0.346,1,1.9,0.537,0.526,0.4,0.6,0.704,0.3,1.3,1.7,1.1,0.7,0.1,0.9,1.6,6,-3.7
467,Duncan Robinson,SG,27,MIA,56,51,27.5,4,10,0.398,3.1,8.4,0.364,0.9,1.6,0.58,0.551,0.7,0.9,0.833,0.4,2.6,3,1.6,0.6,0.2,0.9,2.6,11.8,-0.5
468,Justin Robinson,PG,24,TOT,25,0,12.2,1.1,3.7,0.301,0.7,2.4,0.295,0.4,1.3,0.313,0.398,0.2,0.3,0.5,0.2,0.7,0.8,1.3,0.4,0,0.7,1.1,3.1,-7.8
469,Mitchell Robinson,C,23,NYK,53,44,25.4,3.6,4.7,0.762,0,0,,3.6,4.7,0.762,0.762,1.3,2.5,0.519,3.9,4.9,8.7,0.4,0.7,1.7,0.8,2.7,8.4,1.6
470,Jeremiah Robinson-Earl,C,21,OKC,44,36,23,2.7,6.6,0.401,1.1,3.4,0.333,1.5,3.2,0.472,0.486,0.7,1,0.714,1.6,4.2,5.8,1,0.6,0.3,0.8,1.7,7.1,-2.5
471,Isaiah Roby,PF,23,OKC,22,8,15.1,2.8,5.4,0.513,0.6,1.5,0.406,2.2,4,0.552,0.567,0.8,1.2,0.667,1.4,2.3,3.7,0.7,0.6,0.5,0.8,1.9,7,-0.7
472,Rajon Rondo,PG,35,TOT,31,0,18.3,1.7,4.8,0.365,0.7,2.3,0.324,1,2.5,0.403,0.443,0.5,0.7,0.81,0.4,2.6,3,4.1,0.8,0.2,1.8,1.5,4.8,-2
473,Derrick Rose,PG,33,NYK,26,4,24.5,4.7,10.5,0.445,1.4,3.5,0.402,3.3,7,0.467,0.513,1.2,1.2,0.968,0.8,2.2,3,4,0.8,0.5,1.5,0.6,12,2.1
474,Terrence Ross,SG,30,ORL,51,0,24.2,3.7,9,0.406,1.3,4.2,0.316,2.3,4.8,0.484,0.479,1.9,2.2,0.867,0.3,2.2,2.5,2,0.5,0.2,1.3,1.1,10.6,-3.4
475,Terry Rozier,SG,27,CHO,51,51,33.7,6.8,16,0.428,3,8.2,0.36,3.9,7.8,0.5,0.52,2,2.5,0.819,0.8,3.5,4.3,4.3,1.1,0.4,1.3,1.6,18.7,1.1
476,Ricky Rubio,PG,31,CLE,34,8,28.5,4.4,12.1,0.363,1.7,5.1,0.339,2.6,7,0.38,0.434,2.6,3,0.854,0.4,3.7,4.1,6.6,1.4,0.2,2.6,2.2,13.1,0.4
477,D'Angelo Russell,PG,25,MIN,45,45,32.2,6.5,15.9,0.408,3,8.6,0.351,3.5,7.3,0.474,0.502,2.9,3.6,0.802,0.4,3.1,3.5,7,0.9,0.5,2.5,2.2,18.8,1.6
478,Domantas Sabonis,C-PF,25,TOT,51,50,34.5,7.1,12.3,0.579,0.7,2.2,0.315,6.4,10.1,0.636,0.607,3.9,5.3,0.739,3.3,8.7,12,5.1,1,0.5,3,3.1,18.8,4.6
479,Olivier Sarr,C,22,OKC,2,0,7,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,1,1,1,0,2.5,2.5,0,0,1,0,0.5,2,-0.2
480,Tomáš Satoranský,SG,30,NOP,32,3,15,1,3.3,0.299,0.2,1,0.161,0.8,2.4,0.355,0.322,0.6,0.8,0.76,0.6,1.4,2,2.4,0.4,0,0.7,1,2.8,-5.7
481,Jordan Schakel,SG,23,WAS,2,0,7,0,3,0,0,1.5,0,0,1.5,0,0,0,0,,1,0.5,1.5,0,0,0,0,0,0,-20.5
482,Admiral Schofield,SF,24,ORL,24,1,11.3,1.3,2.8,0.471,0.6,1.7,0.341,0.8,1.1,0.667,0.574,0.2,0.3,0.714,0.4,1.7,2,0.7,0.1,0.2,0.5,1.3,3.5,-4.5
483,Dennis Schröder,SG-PG,28,TOT,52,27,29.2,5.2,11.9,0.436,1.3,3.9,0.343,3.8,7.9,0.482,0.493,2.5,3,0.852,0.6,2.8,3.4,4.4,0.8,0.1,2.2,2.4,14.2,-1.6
484,Tre Scott,SF,25,CLE,2,0,5.5,1.5,3,0.5,0,0.5,0,1.5,2.5,0.6,0.5,0,0,,0.5,0.5,1,0,0.5,0.5,0,1,3,-2.9
485,Jay Scrubb,SG,21,LAC,18,0,6.7,1,2.6,0.391,0.3,1.2,0.286,0.7,1.4,0.48,0.457,0.4,0.6,0.7,0.1,0.8,0.9,0.4,0.2,0.2,0.4,0.5,2.7,-4.7
486,Wayne Selden,SG,27,NYK,3,0,6.3,0.3,1.3,0.25,0.3,0.7,0.5,0,0.7,0,0.375,0.7,1.3,0.5,0,0.3,0.3,0.3,0,0,0,0.3,1.7,-6.2
487,Alperen Şengün,C,19,HOU,50,5,18.7,3.1,6.4,0.481,0.4,1.3,0.277,2.7,5.1,0.533,0.509,2.2,3.2,0.698,1.7,3.1,4.8,2.5,0.8,0.9,2,2.9,8.7,-0.6
488,Collin Sexton,SG,23,CLE,11,11,28.7,6.2,13.7,0.45,1,4.1,0.244,5.2,9.6,0.538,0.487,2.6,3.5,0.744,1.2,2.1,3.3,2.1,0.9,0,2.8,2.3,16,-3.9
489,Landry Shamet,SG,24,PHO,45,7,19.8,2.4,6.4,0.37,1.6,4.5,0.353,0.8,2,0.409,0.493,1,1.2,0.852,0.2,1.7,1.9,1.6,0.5,0.1,0.5,1.2,7.4,-1
490,Day'Ron Sharpe,PF,20,BRK,30,8,12.4,2.7,4.7,0.571,0,0.1,0.25,2.6,4.5,0.581,0.575,0.7,1.2,0.568,2.6,2.5,5.1,0.5,0.3,0.5,1,2,6.1,-3.6
491,Pascal Siakam,PF,27,TOR,44,44,37.8,8.5,17.1,0.495,1.1,3.1,0.348,7.4,14,0.528,0.527,3.9,5.3,0.738,2.1,6.6,8.7,5.2,1.3,0.7,2.8,3.5,21.9,3
492,Chris Silva,PF,25,TOT,10,0,9.1,0.8,1.5,0.533,0,0,,0.8,1.5,0.533,0.533,1,1.2,0.833,1.3,2.3,3.6,0.7,0,0.1,0.8,2,2.6,-4.9
493,Marko Simonovic,C,22,CHI,9,0,3.9,0.4,1.7,0.267,0.1,0.6,0.2,0.3,1.1,0.3,0.3,0.9,1.2,0.727,0.6,0.6,1.1,0,0.1,0.1,0.2,0.7,1.9,-11
494,Anfernee Simons,SG,22,POR,53,26,29.3,6.2,13.8,0.447,3.1,7.6,0.4,3.1,6.1,0.505,0.558,1.6,1.8,0.885,0.5,2.2,2.7,3.9,0.5,0.1,1.9,1.9,17,-0.4
495,Jericho Sims,PF,23,NYK,18,0,6.5,0.4,0.6,0.727,0,0,,0.4,0.6,0.727,0.727,0.2,0.2,0.75,0.6,0.9,1.5,0.1,0.2,0.4,0.1,0.6,1.1,-0.6
496,Deividas Sirvydis,SG,21,DET,3,0,9,0.3,3.3,0.1,0.3,2.3,0.143,0,1,0,0.15,0,0,,0,2,2,0.3,1,0.3,0,1.3,1,-8.9
497,Javonte Smart,PG,22,MIL,13,1,12.3,0.8,3.3,0.256,0.3,1.4,0.222,0.5,1.9,0.28,0.302,0.4,0.5,0.833,0.3,1.2,1.5,1.1,0.3,0.2,0.7,0.8,2.4,-8.2
498,Marcus Smart,PG,27,BOS,50,50,32.7,4,9.8,0.411,1.5,4.8,0.311,2.5,5,0.506,0.487,2.2,2.8,0.783,0.6,3.3,3.9,5.3,1.8,0.3,2,2.4,11.7,0.2
499,Dennis Smith Jr.,PG,24,POR,37,4,17.2,2.1,5.1,0.418,0.2,0.7,0.222,2,4.4,0.451,0.434,1.1,1.7,0.656,0.5,1.8,2.4,3.6,1.2,0.3,1.4,1.4,5.6,-1.4
500,Ish Smith,PG,33,TOT,41,1,14.6,2.3,5.3,0.425,0.3,0.7,0.4,2,4.6,0.429,0.452,0.3,0.5,0.632,0.3,1.3,1.6,2.9,0.6,0.3,1,1.1,5.1,-3.5
501,Jalen Smith,PF,21,TOT,33,6,14.1,2.5,5.1,0.485,0.5,1.6,0.288,2,3.5,0.573,0.53,1.3,1.8,0.759,1.8,3.1,5,0.3,0.3,0.6,0.8,1.9,6.8,-1.4
502,Xavier Sneed,SF,24,MEM,2,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0.5,0.5,1,0,0,0,0,1,0,-20
503,Tony Snell,SG,30,TOT,41,10,14.6,1.1,2.8,0.395,0.7,2.1,0.341,0.4,0.6,0.577,0.526,0.1,0.1,1,0.3,1.6,1.9,0.5,0.2,0.2,0.4,1.2,3,-4.3
504,Jaden Springer,SG,19,PHI,2,0,3,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0.5,0.5,1,0,0,1,0.5,0,1,17
505,Cassius Stanley,SG,22,DET,9,1,17.2,2.1,5.1,0.413,0.4,1.9,0.235,1.7,3.2,0.517,0.457,1.1,1.1,1,0.6,1.6,2.1,0.4,0.6,0.2,0.7,1.9,5.8,-6.1
506,Nik Stauskas,SG,28,MIA,2,0,12,1.5,4,0.375,1,2,0.5,0.5,2,0.25,0.5,1.5,2,0.75,0.5,1,1.5,0.5,0,0,0,0.5,5.5,-1.2
507,Lance Stephenson,SG-SF,31,TOT,30,1,18.1,3.3,7.1,0.458,0.5,2,0.246,2.8,5.1,0.542,0.493,1.3,1.7,0.8,0.3,2.7,3,3.7,0.5,0.1,1.6,1.9,8.4,-3
508,Lamar Stevens,PF,24,CLE,41,8,14.3,2,4.3,0.475,0.3,1.1,0.295,1.7,3.2,0.534,0.511,0.6,1,0.625,0.7,1.5,2.2,0.6,0.5,0.2,0.5,1.4,5,-2
509,Isaiah Stewart,C,20,DET,50,50,26,3.6,7,0.523,0.1,0.5,0.125,3.6,6.5,0.552,0.527,1,1.4,0.667,3.1,5.4,8.4,1.1,0.3,1.1,1.3,2.9,8.3,-3.6
510,Max Strus,SF,25,MIA,47,9,23.8,3.7,8.5,0.436,2.6,6.5,0.401,1.1,2,0.547,0.589,0.7,0.9,0.767,0.4,2.8,3.2,1.3,0.3,0.2,0.8,1.7,10.7,0.5
